名稱	戰法	特性1	特性2	特性3	奉行特性	家宰特性	所屬	登場年	統率	武勇	智略	政務	合計	物慾	主義	出身	信仰	騎兵LV	鐵炮LV	AI LV	野心
蘆田國住	治療	雄辯			治水奉行	臥薪嚐膽	丹波	1560	31	43	61	48	183	普通	保守	武士	佛教			C	6
阿閉貞征	混亂	攻勢			武士之悟	常備兵訓練	近江	1543	32	43	49	33	157	貪婪	保守	武士	佛教			C	11
池田信正	罵聲	破策			工事奉行	加征米稅	攝津	1508	63	43	45	68	219	普通	中庸	武士	佛教			B	7
巖城吉隆	止步	盡心盡力	修繕		工事奉行	重視內治	磐城	1620	72	43	56	76	247	普通	中庸	武士	佛教			B	4
巖城由隆	罵聲	暗中活動			軍糧奉行	歸農主義	磐城	1492	40	43	46	73	202	貪婪	保守	武士	佛教			B	8
上田朝直	攪亂	盡心盡力	能吏		工事奉行	人海戰術	武藏	1509	40	43	57	68	208	淡泊	保守	武士	佛教			B	9
上村賴孝	內訌	射手			工事奉行	重商主義	肥后	1538	59	43	59	52	213	淡泊	中庸	武士	佛教		○	B	8
江口正吉	潛力	盡心盡力	工事		工事奉行	積草屯糧	近江	1574	68	43	80	59	250	淡泊	革新	武士	佛教			B	7
遠藤基信	混亂	雄辯			官吏之悟	擴張農產	巖代	1546	37	43	70	81	231	淡泊	革新	武士	佛教			B	1
阿船	攪亂	修繕			樂市奉行	積草屯糧	越后	1571	78	43	77	68	266	淡泊	中庸	武士	佛教			A	2
大關宗增	潛力	破策			治水奉行	擴張農產	下野	1476	44	43	59	68	214	普通	保守	武士	佛教			B	9
太田重正	內訌	破策			守城奉行	年功加俸	武藏	1575	38	43	43	52	176	普通	中庸	武士	佛教			C	4
甲斐親英	止步	雄辯			武士之悟	役民基建	肥后	1552	42	43	59	56	200	貪婪	保守	武士	佛教			B	10
垣屋恒總	威壓	破策			軍糧奉行	歸農主義	但馬	1577	43	43	38	45	169	淡泊	中庸	武士	佛教			C	8
垣屋續成	潛力	修繕			治水奉行	購買糧食	但馬	1496	52	43	63	63	221	貪婪	保守	武士	佛教			B	11
桂元澄	潛力	盡心盡力	計謀		治水奉行	重視內治	安藝	1514	48	43	70	66	227	淡泊	保守	武士	佛教			B	7
川崎祐長	攪亂	破策			治水奉行	常備兵訓練	日向	1547	42	43	52	65	202	淡泊	保守	武士	佛教			B	1
北致愛	混亂	盡心盡力			工事奉行	武斷主義	陸奧	1517	55	43	54	55	207	普通	中庸	武士	佛教			B	11
木村定光	攪亂	鐵壁	能吏		工事奉行	常備兵訓練	近江	1573	74	43	62	77	256	貪婪	保守	武士	佛教			B	10
肝付兼盛	激勵	攻勢			軍糧奉行	役商基建	大隅	1547	63	43	47	48	201	淡泊	中庸	武士	佛教			B	6
九戶康真	治療	修繕			工事奉行	補給騎兵	陸奧	1567	49	43	68	44	204	貪婪	革新	武士	佛教			B	11
河野晴通	混亂	盡心盡力			工事奉行	役商基建	伊予	1536	61	43	50	54	208	淡泊	革新	武士	佛教			B	8
下間賴龍	攪亂	用兵			炮術奉行	強化鐵炮兵	攝津	1566	56	43	51	65	215	貪婪	保守	僧侶	一向宗			B	7
城親冬	止步	盡心盡力			溫泉奉行	重商主義	肥后	1525	52	43	53	58	206	普通	保守	武士	佛教			B	8
白河晴綱	治療	雄辯			名門之悟	加征米稅	磐城	1533	36	43	54	67	200	普通	保守	名門	佛教			C	10
杉興運	潛力	雄辯			守城奉行	交易主義	周防	1520	45	43	67	62	217	普通	中庸	武士	佛教			B	8
相馬隆胤	激勵	破策			馬術奉行	騎兵訓練	磐城	1565	38	43	38	45	164	普通	中庸	武士	佛教	○		C	8
大道寺直英	治療	攻城			工事奉行	勞民動眾	紀伊	1566	53	43	58	82	236	淡泊	革新	武士	佛教			B	8
多賀貞能	攪亂	工事			武士之悟	成果加俸	近江	1529	37	43	58	50	188	普通	保守	武士	佛教			C	8
多賀山通續	止步	修繕			武士之悟	重視內治	備后	1520	43	43	49	48	183	淡泊	保守	武士	佛教			C	7
田中忠政	內訌	暗中活動			南蠻奉行	購買糧食	近江	1599	54	43	51	58	206	普通	革新	武士	基督教			B	8
種子島惠時	治療	炮術			炮術奉行	鐵炮訓練	大隅	1517	57	43	63	53	216	普通	革新	武士	佛教		⌾	B	7
津野定勝	飛馳	雄辯			武士之悟	加征米稅	土佐	1540	39	43	44	40	166	普通	保守	武士	佛教			C	7
角隈石宗	潛力	用兵	計謀	破策	軍師之悟	深謀遠慮	豐后	1533	73	43	89	71	276	普通	中庸	軍師	佛教			B	5
土佐林禪棟	治療	雄辯			武士之悟	歸農主義	羽前	1520	30	43	60	54	187	普通	保守	武士	佛教			C	7
本多利朝	止步	工事			工事奉行	重商主義	尾張	1565	44	43	58	42	187	淡泊	中庸	武士	佛教			C	7
本間高貞	飛馳	鐵壁			武士之悟	增強兵役	佐渡	1529	45	43	25	39	152	貪婪	保守	武士	佛教			C	14
桂田長俊	治療	修繕			樂市奉行	重商主義	越前	1554	34	43	68	58	203	貪婪	革新	武士	佛教			B	8
前波吉繼																					
松倉重政	威壓	自衛			治水奉行	年功加俸	大和	1585	64	43	27	24	158	貪婪	中庸	武士	佛教	○		C	11
三浦貞廣	混亂	防災			守城奉行	增強軍役	美作	1556	48	43	60	49	200	淡泊	中庸	武士	佛教			C	10
安見勝之	威壓	炮術			武士之悟	成果加俸	河內	1580	53	43	44	23	163	淡泊	保守	武士	佛教			C	4
山名豐賴	突襲	暗中活動			名門之悟	固守城池	因幡	1478	43	43	47	61	194	淡泊	保守	名門	佛教			C	6
山村良候	潛力	盡心盡力			治水奉行	固守城池	信濃	1558	37	43	71	56	207	普通	保守	武士	佛教			B	6
吉岡長增	潛力	能吏	破策		軍師之悟	年功加俸	豐后	1513	35	43	77	55	210	普通	中庸	軍師	佛教			B	8
吉岡妙林	止步	用兵	炮術		炮術奉行	鐵炮訓練	豐后	1534	66	43	79	50	238	普通	革新	武士	佛教			B	2
和田昭為	治療	工事	能吏		治水奉行	練武練兵	長陸	1548	59	43	72	75	249	普通	保守	武士	佛教			B	8
獨鈷眾頭領	突襲							0	46	43	30	28	147	淡泊	無					C	0
由利眾頭領	突襲							0	42	43	42	42	169	淡泊	無					C	0
松岡眾頭領	攪亂							0	45	43	25	28	141	淡泊	無					C	0
堀江眾頭領	飛馳							0	48	43	32	42	165	淡泊	無					C	0
馬伏冢眾頭領	激勵							0	42	43	26	29	140	淡泊	無					C	0
大原眾頭領	混亂							0	25	43	40	30	138	淡泊	無					C	0
越智眾頭領	突襲							0	28	43	25	54	150	淡泊	無					C	0
山縣眾頭領	威壓							0	26	43	51	51	171	淡泊	無					C	0
香美眾頭領	攪亂							0	47	43	30	39	159	淡泊	無					C	0
赤松則英	威壓	自衛			名門之悟	積草屯糧	播磨	1586	46	44	36	43	169	貪婪	革新	名門	佛教			C	9
赤松則房	混亂	盛名			寺社奉行	購買糧食	播磨	1574	38	44	57	61	200	普通	中庸	名門	佛教			C	5
淺野長政	潛力	防災	能吏		官吏之悟	擴張農產	尾張	1562	48	44	64	75	231	貪婪	革新	官吏	佛教			B	7
天野興定	攪亂	工事			工事奉行	歸農主義	安藝	1490	53	44	62	37	196	淡泊	保守	武士	佛教			C	7
今泉高光	潛力	用兵			治水奉行	增強兵役	下野	1582	42	44	51	69	206	貪婪	保守	武士	佛教			B	8
及川賴家	警戒	盡心盡力			武士之悟	重視內治	陸前	1529	47	44	43	45	179	普通	保守	武士	佛教			C	9
河合吉統	潛力	工事			守城奉行	年功加俸	越前	1535	41	44	61	69	215	普通	中庸	武士	佛教			B	2
河田長親	治療	自衛	地利		掘金奉行	購買糧食	近江	1554	72	44	80	81	277	普通	保守	武士	佛教	○		B	6
京極忠高	混亂	鐵壁			名門之悟	武斷主義	近江	1607	59	44	49	45	197	普通	中庸	名門	佛教			C	7
香宗我部親秀	罵聲	暗中活動			守城奉行	重農主義	土佐	1522	46	44	63	64	217	淡泊	中庸	武士	佛教			B	5
相良武任	治療	工事	巧言		治水奉行	年功加俸	周防	1512	40	44	75	77	236	淡泊	保守	武士	佛教			B	11
巖城貞隆	止步	防災			佐竹傳	常備兵訓練	長陸	1597	49	44	57	48	198	普通	中庸	武士	佛教			C	5
里見義重	突襲	用兵			軍糧奉行	常備兵訓練	安房	1580	43	44	24	53	164	淡泊	中庸	武士	佛教			C	2
寒川元鄰	罵聲	修繕			治水奉行	成果加俸	贊岐	1554	40	44	55	43	182	普通	中庸	武士	佛教			C	5
下國師季	突襲	牢固			治水奉行	交易主義	蝦夷	1528	74	44	51	51	220	普通	保守	武士	佛教			B	8
莊高資	威壓	自衛			武士之悟	固守城池	備中	1535	49	44	44	49	186	淡泊	保守	武士	佛教			C	7
千葉邦胤	突襲	鐵壁			治水奉行	重農主義	下總	1571	46	44	45	38	173	貪婪	中庸	武士	佛教			C	8
督姬	激勵	盡心盡力			德川傳	調遣民夫	三河	1579	65	44	48	52	209	普通	中庸	武士	佛教			B	2
戶澤政重	治療	防災			軍糧奉行	增強兵役	羽后	1507	47	44	70	44	205	普通	革新	武士	佛教			B	8
中島輝行	內訌	雄辯			工事奉行	增強兵役	備中	1542	54	44	56	50	204	淡泊	中庸	武士	佛教			B	8
南條元忠	激勵	盡心盡力			樂市奉行	積草屯糧	伯耆	1584	66	44	42	39	191	貪婪	中庸	武士	佛教			C	11
畠山義慶	警戒	破策			軍糧奉行	加征米稅	能登	1566	38	44	37	51	170	普通	革新	武士	佛教			C	6
原胤清	攪亂	雄辯			軍糧奉行	重視內治	下總	1502	60	44	64	59	227	淡泊	中庸	武士	佛教			B	6
土方雄久	攪亂	工事			治水奉行	購買糧食	尾張	1567	25	44	48	30	147	淡泊	革新	武士	佛教			C	5
本莊義勝	激勵	防災			軍糧奉行	積草屯糧	越后	1583	46	44	48	46	184	貪婪	中庸	武士	佛教			C	8
米穀常秀	警戒	工事			武士之悟	重視內治	陸前	1548	38	44	46	38	166	普通	保守	武士	佛教			C	7
松井興長	止步	防災			工事奉行	積草屯糧	丹后	1596	55	44	66	52	217	普通	中庸	武士	佛教			B	5
松倉右近	治療	計謀	修繕		守城奉行	調遣民夫	大和	1557	39	44	77	78	238	普通	中庸	武士	佛教	○		B	6
妙玖	混亂	鐵壁			軍糧奉行	勞民動眾	安藝	1513	70	44	78	62	254	普通	保守	武士	佛教			B	1
藥丸兼將	激勵	破策			武士之悟	重視內治	大隅	1531	40	44	44	50	178	普通	保守	武士	佛教			C	8
矢作重常	警戒	攻勢			武士之悟	重視內治	陸前	1569	40	44	44	43	171	普通	保守	武士	佛教			C	7
和賀忠親	激勵	自衛			武士之悟	臥薪嚐膽	陸中	1590	57	44	23	28	152	淡泊	保守	武士	佛教			C	3
長沼眾頭領	激勵							0	39	44	50	50	183	淡泊	無					C	0
久美浜眾頭領	威壓							0	48	44	49	55	196	淡泊	無					C	0
松浦眾頭領	內訌							0	48	44	25	28	145	淡泊	無					C	0
三星眾頭領	激勵							0	47	44	36	30	157	淡泊	無					C	0
安房水軍頭領	飛馳							0	29	44	26	48	147	淡泊	無					C	0
赤穴盛清	攪亂	防災			守城奉行	人海戰術	出雲	1544	31	45	59	53	188	貪婪	中庸	武士	佛教			C	9
阿部良輝	治療	雄辯			工事奉行	歸農主義	羽后	1519	58	45	60	54	217	淡泊	中庸	武士	佛教			B	8
安中重繁	罵聲	馬術			武士之悟	役民基建	上野	1527	27	45	39	35	146	貪婪	保守	武士	佛教	○		C	8
池田利隆	潛力	能吏			軍糧奉行	調遣民夫	美濃	1598	60	45	57	79	241	貪婪	革新	武士	佛教			B	5
石川久智	攪亂	修繕			掘金奉行	固守城池	備中	1524	45	45	60	55	205	普通	中庸	武士	佛教			B	9
市川經好	潛力	工事			官吏之悟	重農主義	石見	1541	35	45	58	80	218	貪婪	保守	武士	佛教			B	10
巖清水義長	混亂	修繕			掘金奉行	擴張農產	陸中	1559	51	45	56	41	193	淡泊	保守	武士	佛教			C	4
大崎義直	突襲	盡心盡力			寺社奉行	歸農主義	陸前	1520	47	45	41	49	182	貪婪	中庸	名門	佛教			C	8
大冢政成	治療	暗中活動			溫泉奉行	臥薪嚐膽	長陸	1518	53	45	59	64	221	淡泊	中庸	武士	佛教			B	9
大西賴晴	警戒	攻勢			甲冑奉行	成果加俸	阿波	1558	38	45	32	43	158	普通	中庸	武士	佛教			C	5
奧平貞能	止步	雄辯			武士之悟	重農主義	三河	1551	50	45	52	44	191	普通	保守	武士	佛教			C	8
葛西晴信	攪亂	用兵			武士之悟	重視內治	陸前	1548	47	45	52	53	197	淡泊	保守	武士	佛教			B	10
蒲生秀行	警戒	盡心盡力			工事奉行	常備兵訓練	近江	1597	52	45	47	51	195	普通	中庸	武士	佛教			C	7
北畠昌教	罵聲	暗中活動			國司之教	武斷主義	伊勢	1591	41	45	45	50	181	普通	中庸	名門	佛教			C	6
隈部親永	治療	工事			溫泉奉行	交易主義	肥后	1530	42	45	56	39	182	貪婪	保守	武士	佛教			C	12
小寺則職	潛力	暗中活動			守城奉行	購買糧食	播磨	1509	33	45	57	62	197	貪婪	中庸	武士	佛教			C	10
白河義親	內訌	雄辯			名門之悟	擴張農產	磐城	1554	52	45	63	58	218	貪婪	保守	名門	佛教			B	13
小峰義親																					
佐世清宗	攪亂	破策			溫泉奉行	重商主義	出雲	1535	40	45	48	63	196	普通	中庸	武士	佛教			C	6
佐田隆居	罵聲	盡心盡力			守城奉行	重商主義	豐后	1533	50	45	63	58	216	普通	中庸	武士	佛教			B	6
白河義綱	止步	雄辯			名門之悟	加征米稅	磐城	1513	51	45	55	51	202	普通	保守	名門	佛教			B	7
瀨名姬	突襲	反攻			今川傳	武斷主義	駿河	1556	75	45	55	49	224	普通	中庸	名門	佛教			B	4
仙桃院	突襲	控場			上杉傳	重視內治	越后	1538	61	45	56	70	232	貪婪	保守	武士	佛教			A	5
大掾慶干	罵聲	修繕			武士之悟	增強兵役	長陸	1529	47	45	58	51	201	淡泊	保守	武士	佛教			B	5
田結莊是義	攪亂	巧言			軍師之悟	固守城池	但馬	1532	39	45	70	45	199	普通	保守	軍師	佛教			C	10
多羅尾光俊	潛力	計謀			忍者之悟	重視內治	近江	1528	47	45	62	45	199	淡泊	中庸	忍者	佛教			B	8
千葉重胤	止步	破策			守城奉行	人海戰術	下總	1590	33	45	56	60	194	普通	中庸	武士	佛教			C	8
長壽院盛淳	潛力	乾坤	能吏		僧侶之悟	補給鐵炮	薩摩	1561	58	45	75	77	255	普通	革新	僧侶	佛教		○	B	4
妻木廣忠	威壓	破策			武士之悟	重商主義	美濃	1528	49	45	43	52	189	普通	保守	武士	佛教			C	8
妻木賴忠	混亂	能吏			治水奉行	成果加俸	美濃	1579	46	45	57	71	219	普通	保守	武士	佛教			B	7
東禪寺勝正	罵聲	暗中活動			軍糧奉行	調遣民夫	羽前	1560	60	45	47	63	215	淡泊	保守	武士	佛教			B	7
長倉祐有	罵聲	防災			樂市奉行	役商基建	日向	1488	42	45	63	27	177	淡泊	中庸	武士	佛教			C	12
永原孝治	內訌	用兵			守城奉行	常備兵訓練	加賀	1592	42	45	48	56	191	普通	中庸	武士	佛教			C	7
那須政資	治療	牢固			治水奉行	武斷主義	下野	1511	45	45	58	65	213	淡泊	保守	武士	佛教			C	7
禰寢重長	治療	工事			治水奉行	役商基建	大隅	1550	47	45	54	65	211	淡泊	保守	武士	佛教			B	11
芳賀高繼	治療	破策			治水奉行	歸農主義	下野	1540	41	45	57	66	209	淡泊	保守	武士	佛教			B	7
平井經治	治療	工事			治水奉行	增強軍役	肥前	1539	44	45	66	42	197	淡泊	中庸	武士	佛教			C	12
平田宗茂	罵聲	破策			樂市奉行	增強兵役	薩摩	1519	48	45	54	58	205	淡泊	革新	武士	佛教			B	10
平手政秀	潛力	控場	工事		守城奉行	重商主義	尾張	1506	58	45	71	76	250	淡泊	中庸	武士	佛教			A	2
堀親良	混亂	盡心盡力			工事奉行	擴張農產	近江	1590	65	45	64	65	239	淡泊	革新	武士	佛教			B	9
蒔田廣定	止步	雄辯			樂市奉行	積草屯糧	尾張	1585	40	45	61	42	188	普通	中庸	武士	佛教			C	7
前田利久	潛力	工事			甲冑奉行	常備兵訓練	尾張	1551	49	45	73	61	228	淡泊	中庸	武士	佛教			B	4
前田利政	突襲	鐵壁			工事奉行	重商主義	尾張	1592	47	45	45	47	184	貪婪	中庸	武士	佛教			C	9
增田長盛	治療	工事	防災		官吏之悟	地區檢地	尾張	1559	46	45	57	89	237	普通	革新	官吏	佛教			A	8
三浦貞久	攪亂	地利			溫泉奉行	購買糧食	美作	1522	57	45	54	73	229	淡泊	中庸	武士	佛教			B	10
宮城政業	內訌	用兵			守城奉行	增強軍役	武藏	1509	32	45	52	62	191	貪婪	中庸	武士	佛教			C	10
三好政長	潛力	破策			三好傳	加征米稅	阿波	1522	49	45	56	60	210	普通	保守	武士	佛教			B	9
森脅祐有	混亂	工事			治水奉行	重視內治	石見	1512	47	45	66	73	231	淡泊	保守	武士	佛教			B	6
結城晴朝	潛力	雄辯	巧言	暗中活動	守城奉行	深謀遠慮	下總	1548	62	45	74	83	264	淡泊	中庸	武士	佛教			A	10
小山晴朝																					
湯目景康	潛力	盡心盡力			工事奉行	交易主義	羽前	1578	73	45	80	65	263	普通	革新	武士	佛教			B	4
和知直賴	潛力	工事			治水奉行	役商基建	磐城	1510	40	45	69	57	211	普通	保守	武士	佛教			B	12
鹽松眾頭領	內訌							0	50	45	25	43	163	淡泊	無					C	0
勝沼眾頭領	警戒							0	50	45	51	52	198	淡泊	無					C	0
城生眾頭領	治療							0	36	45	32	39	152	淡泊	無					C	0
神戶眾頭領	突襲							0	45	45	45	43	178	淡泊	無					C	0
龍野眾頭領	突襲							0	34	45	38	35	152	淡泊	無					C	0
飯野眾頭領	內訌							0	40	45	33	33	151	淡泊	無					C	0
秋田俊季	內訌	防災			工事奉行	交易主義	羽后	1613	53	46	52	60	211	普通	中庸	武士	佛教			C	3
淺利則祐	威壓	盡心盡力			守城奉行	練武練兵	羽后	1538	38	46	48	52	184	普通	中庸	武士	佛教			C	5
安宅信康	警戒	海神			三好傳	重商主義	淡路	1564	50	46	50	41	187	普通	革新	武士	佛教			C	6
安藤守就	治療	攻城	計謀		武士之悟	深謀遠慮	美濃	1538	41	46	71	64	222	普通	中庸	武士	佛教			B	12
池田政綱	攪亂	防災			樂市奉行	役民基建	播磨	1615	60	46	67	65	238	普通	革新	武士	佛教			B	6
生駒一正	混亂	地利			治水奉行	重商主義	美濃	1570	49	46	68	54	217	貪婪	保守	武士	佛教			C	9
豬苗代盛國	混亂	反攻			樂市奉行	購買糧食	巖代	1551	68	46	64	53	231	貪婪	保守	武士	佛教			B	13
巖上朝堅	治療	破策			治水奉行	歸農主義	下總	1569	32	46	61	79	218	普通	保守	武士	佛教			B	4
上田憲定	攪亂	用兵			武士之悟	人海戰術	武藏	1551	38	46	35	57	176	貪婪	保守	武士	佛教			C	7
內島雅氏	罵聲	防災			治水奉行	擴張農產	飛騨	1515	51	46	64	63	224	普通	保守	武士	佛教			B	10
海野幸義	威壓	牢固			武士之悟	常備兵訓練	信濃	1515	40	46	29	27	142	普通	保守	武士	佛教			C	14
大崎義隆	警戒	人脈			寺社奉行	歸農主義	陸前	1562	43	46	35	49	173	普通	保守	名門	佛教			B	8
小笠原政信	潛力	防災	馬術		寺社奉行	重農主義	武藏	1614	69	46	73	53	241	淡泊	革新	武士	佛教	○		B	3
木曾義在	罵聲	用兵	工事		樂市奉行	深謀遠慮	信濃	1507	50	46	81	73	250	普通	保守	武士	佛教			B	10
北原兼孝	內訌	用兵			樂市奉行	謀攻主義	日向	1515	29	46	72	34	181	淡泊	中庸	武士	一向宗			C	4
肝付兼護	激勵	攻勢			武士之悟	增強兵役	大隅	1575	39	46	27	45	157	普通	保守	武士	佛教			C	5
黑田秀忠	罵聲	破策			治水奉行	積草屯糧	越后	1511	46	46	62	63	217	淡泊	保守	武士	佛教	○		B	14
國分盛顯	內訌	攻城			旗幟奉行	擴張農產	陸前	1542	29	46	44	35	154	普通	中庸	武士	佛教			C	4
齋藤利茂	止步	用兵			武士之悟	重商主義	美濃	1520	34	46	47	57	184	淡泊	保守	武士	佛教			C	8
酒井豐數	罵聲	防災			治水奉行	常備兵訓練	丹波	1500	39	46	64	59	208	淡泊	保守	武士	佛教			B	7
佐竹義憲	攪亂	雄辯			佐竹傳	常備兵訓練	長陸	1582	44	46	62	52	204	普通	中庸	武士	佛教			B	8
佐藤堅忠	內訌	防災			工事奉行	調遣民夫	美濃	1562	25	46	44	75	190	淡泊	革新	武士	佛教			C	7
少貳冬尚	內訌	鐵壁			名門之悟	加征米稅	筑前	1540	52	46	51	55	204	普通	保守	名門	佛教			B	10
神保相茂	威壓	雄辯			樂市奉行	年功加俸	紀伊	1596	39	46	50	46	181	普通	中庸	武士	佛教			C	8
杉重良	警戒	破策			軍糧奉行	重商主義	安藝	1557	32	46	32	47	157	貪婪	中庸	武士	佛教			C	9
鈴木元信	止步	能吏			商人之悟	售出貢米	山城	1569	24	46	52	83	205	淡泊	革新	商人	佛教			B	7
園田實明	治療	堅陣			治水奉行	增強兵役	薩摩	1514	64	46	63	46	219	淡泊	革新	武士	佛教			B	6
大掾貞國	警戒	鐵壁			軍糧奉行	增強兵役	長陸	1562	46	46	38	46	176	普通	中庸	武士	佛教			C	8
大寶寺義興	混亂	雄辯			治水奉行	調遣民夫	羽前	1567	35	46	62	66	209	淡泊	保守	武士	佛教			B	10
大寶寺義增	潛力	暗中活動			治水奉行	歸農主義	羽前	1536	20	46	59	61	186	淡泊	保守	武士	佛教			C	10
寺島職定	突襲	暗中活動			軍糧奉行	增強軍役	越中	1524	49	46	41	53	189	普通	中庸	武士	一向宗			C	8
德永壽昌	混亂	防災			守城奉行	常備兵訓練	近江	1563	31	46	61	68	206	貪婪	中庸	武士	佛教			B	9
豐島重村	罵聲	攻城			旗幟奉行	購買糧食	羽后	1535	35	46	43	33	157	貪婪	中庸	武士	佛教			C	12
長野藤定	混亂	修繕			武士之悟	增強軍役	伊勢	1540	46	46	55	55	202	普通	保守	武士	佛教			B	8
鍋島忠茂	罵聲	自衛			鍋島傳	常備兵訓練	肥前	1598	62	46	62	60	230	普通	革新	武士	佛教			B	5
西野道俊	混亂	防災			樂市奉行	增強兵役	羽后	1567	38	46	47	33	164	淡泊	中庸	武士	佛教			C	6
大藤信基	潛力	用兵	能吏	炮術	軍師之悟	強化鐵炮兵	甲斐	1514	73	46	75	63	257	貪婪	革新	軍師	佛教		⌾	B	6
原胤榮	罵聲	盡心盡力			工事奉行	擴張農產	下總	1551	63	46	59	62	230	普通	中庸	武士	佛教			B	8
土方雄重	突襲	反攻			甲冑奉行	常備兵訓練	伊勢	1606	40	46	43	36	165	普通	革新	武士	佛教			C	7
福原資保	內訌	雄辯			武士之悟	擴張農產	下野	1585	40	46	51	44	181	普通	保守	武士	佛教			C	7
北條氏重	止步	鐵壁			治水奉行	重視內治	下總	1609	53	46	47	46	192	普通	中庸	武士	佛教			C	8
細川持隆	混亂	控場			名門之悟	重商主義	阿波	1511	57	46	57	71	231	普通	保守	名門	佛教			B	7
細川晴元	內訌	雄辯	巧言		名門之悟	年功加俸	阿波	1528	57	46	56	72	231	貪婪	保守	名門	佛教			C	12
本莊實乃	治療	控場	能吏		掘金奉行	增強兵役	越后	1525	40	46	70	71	227	普通	保守	武士	佛教			B	5
本多康紀	突襲	破策			軍糧奉行	調遣民夫	三河	1591	43	46	45	60	194	普通	革新	武士	佛教			C	5
本多利久	飛馳	破策			工事奉行	重商主義	尾張	1549	48	46	44	51	189	淡泊	中庸	武士	佛教			C	7
松平忠明	罵聲	防災			樂市奉行	重視內治	三河	1592	61	46	68	77	252	普通	革新	武士	佛教			B	7
松永久通	罵聲	攻城			商人之悟	成果加俸	攝津	1552	58	46	69	60	233	貪婪	中庸	商人	佛教		○	B	14
溝江長逸	罵聲	工事			治水奉行	重商主義	越前	1553	40	46	62	43	191	淡泊	中庸	武士	佛教			C	7
壬生綱房	潛力	計謀	修繕	暗中活動	治水奉行	謀攻主義	下野	1493	47	46	85	82	260	貪婪	保守	武士	佛教			B	14
三宅康信	激勵	自衛			軍糧奉行	練武練兵	遠江	1577	60	46	33	47	186	普通	中庸	武士	佛教			C	8
筑田詮泰	混亂	雄辯			樂市奉行	歸農主義	陸中	1553	39	46	54	41	180	貪婪	中庸	武士	佛教			C	10
山崎家盛	攪亂	雄辯			守城奉行	常備兵訓練	近江	1581	42	46	54	53	195	普通	中庸	武士	佛教			C	8
游佐秀賴	潛力	工事			守城奉行	武斷主義	能登	1517	42	46	67	57	212	淡泊	中庸	武士	佛教			B	7
留守顯宗	激勵	工事			伊達傳	擴張農產	陸前	1533	37	46	30	73	186	普通	中庸	武士	佛教			C	3
分部光高	激勵	盡心盡力			樂市奉行	速食軍糧	伊勢	1542	64	46	31	30	171	淡泊	保守	武士	佛教			C	6
國分眾頭領	止步							0	34	46	30	35	145	淡泊	無					C	0
六鄉眾頭領	內訌							0	31	46	27	36	140	淡泊	無					C	0
加納眾頭領	止步							0	48	46	33	44	171	淡泊	無					C	0
三隅眾頭領	警戒							0	38	46	32	52	168	淡泊	無					C	0
大平眾頭領	激勵							0	28	46	42	52	168	淡泊	無					C	0
赤松村秀	激勵	控場			名門之悟	擴張農產	播磨	1508	59	47	44	41	191	普通	中庸	名門	佛教			C	6
足利晴氏	激勵	破策			名門之悟	重視內治	下總	1523	25	47	43	58	173	普通	保守	名門	佛教			C	9
厚谷貞政	止步	修繕			守城奉行	交易主義	蝦夷	1570	45	47	62	51	205	普通	中庸	武士	佛教			B	12
穴山信友	止步	射手			掘金奉行	調遣民夫	甲斐	1521	65	47	65	70	247	普通	保守	武士	佛教	○		B	6
茨木長隆	止步	盡心盡力			守城奉行	加征米稅	攝津	1520	44	47	56	48	195	貪婪	中庸	武士	佛教			C	9
上田政廣	混亂	工事			治水奉行	人海戰術	武藏	1494	37	47	62	25	171	貪婪	保守	武士	佛教			C	7
大石綱元	攪亂	工事			武士之悟	積草屯糧	武藏	1546	50	47	48	51	196	普通	保守	武士	佛教			C	6
太田一吉	警戒	修繕			工事奉行	歸農主義	美濃	1580	49	47	51	49	196	普通	中庸	武士	佛教			C	8
大野治胤	突襲	自衛			軍糧奉行	重商主義	尾張	1588	52	47	42	49	190	普通	中庸	武士	佛教			C	6
織田昌澄	威壓	攻城			織田傳	補給鐵炮	近江	1593	34	47	39	43	163	普通	革新	武士	佛教			C	8
加藤政貞	飛馳	攻城			尼子傳	人海戰術	出雲	1541	44	47	34	26	151	普通	革新	武士	佛教			C	4
吉良義安	混亂	破策			名門之悟	武斷主義	三河	1550	46	47	45	50	188	淡泊	中庸	名門	佛教			C	3
小出秀政	治療	攻勢			樂市奉行	成果加俸	尾張	1554	67	47	68	71	253	淡泊	革新	武士	佛教			B	7
香西元成	突襲	盡心盡力			武士之悟	重視內治	贊岐	1532	58	47	46	49	200	普通	保守	武士	佛教			C	2
河野通直	激勵	用兵			溫泉奉行	役商基建	伊予	1568	32	47	47	59	185	普通	革新	武士	佛教			C	7
桑折貞長	潛力	盡心盡力			溫泉奉行	增強兵役	羽前	1520	50	47	72	68	237	貪婪	中庸	武士	佛教			B	8
國分盛氏	飛馳	破策			軍糧奉行	役民基建	陸前	1520	44	47	33	56	180	普通	中庸	武士	佛教			C	7
木造具政	罵聲	鐵壁			國司之教	年功加俸	伊勢	1544	56	47	64	51	218	貪婪	保守	名門	佛教			B	13
籠手田安經	內訌	雄辯			南蠻奉行	交易主義	肥前	1546	53	47	61	61	222	普通	革新	武士	基督教			B	2
五藤為重	止步	鐵壁			工事奉行	重農主義	尾張	1572	59	47	41	51	198	普通	革新	武士	佛教			C	4
